Statistical profiling result from isolate-0x82080c000-47318-v8-47318.log, (9016 ticks, 4124 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.2%          /opt/homebrew/Cellar/node@22/22.21.1_4/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      4    0.0%    0.0%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:51:31
      4    0.0%    0.0%  JS: *get path file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:208:13
      4    0.0%    0.0%  JS: *emitReadable_ node:internal/streams/readable:830:23
      4    0.0%    0.0%  JS: *cleanup /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/ee-first/index.js:58:19
      4    0.0%    0.0%  JS: *callPreDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:62:32
      4    0.0%    0.0%  JS: *_write node:internal/streams/writable:453:16
      4    0.0%    0.0%  JS: *_destroy node:_http_incoming:218:55
      4    0.0%    0.0%  Builtin: WeakMapConstructor
      4    0.0%    0.0%  Builtin: LoadICTrampoline
      4    0.0%    0.0%  Builtin: KeyedStoreIC
      4    0.0%    0.0%  Builtin: CloneFastJSArrayFillingHoles
      4    0.0%    0.0%  Builtin: BaselineOutOfLinePrologue
      4    0.0%    0.0%  Builtin: ArrayPrototypeValues
      3    0.0%    0.0%  JS: *write_ node:_http_outgoing:943:16
      3    0.0%    0.0%  JS: *wrappedController file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/EggRouter.js:236:31
      3    0.0%    0.0%  JS: *unenroll node:timers:76:18
      3    0.0%    0.0%  JS: *socketListenerWrap node:_http_server:1236:37
      3    0.0%    0.0%  JS: *removeListener node:events:681:28
      3    0.0%    0.0%  JS: *processPromiseRejections node:internal/process/promises:439:34
      3    0.0%    0.0%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-plugin/dist/lib/AopContextHook.js:35:20
      3    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:140:33
      3    0.0%    0.0%  JS: *logger node:internal/util/debuglog:120:18
      3    0.0%    0.0%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:139:15
      3    0.0%    0.0%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/ContextInitiator.js:13:15
      3    0.0%    0.0%  JS: *index /Users/fengmk2/git/github.com/eggjs/benchmark/simple/app/controller/async.js:3:16
      3    0.0%    0.0%  JS: *getLifecycleList file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:11:21
      3    0.0%    0.0%  JS: *get node:internal/streams/writable:1010:8
      3    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
      3    0.0%    0.0%  JS: *get node:_http_incoming:109:16
      3    0.0%    0.0%  JS: *endReadableNT node:internal/streams/readable:1692:23
      3    0.0%    0.0%  JS: *emitCloseNT node:_http_server:1062:21
      3    0.0%    0.0%  JS: *callPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:50:31
      3    0.0%    0.0%  JS: *_unrefTimer node:net:520:52
      3    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:387:35
      3    0.0%    0.0%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/dist/base_context_class.js:14:16
      3    0.0%    0.0%  Builtin: ToString
      3    0.0%    0.0%  Builtin: ToBooleanForBaselineJump
      3    0.0%    0.0%  Builtin: StringPrototypeSplit
      3    0.0%    0.0%  Builtin: SameValue
      3    0.0%    0.0%  Builtin: LoadICBaseline
      3    0.0%    0.0%  Builtin: KeyedStoreICBaseline
      3    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      3    0.0%    0.0%  Builtin: ArrayPrototypeConcat
      2    0.0%    0.0%  JS: ^wrappedFn node:internal/errors:535:21
      2    0.0%    0.0%  JS: ^postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
      2    0.0%    0.0%  JS: ^parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      2    0.0%    0.0%  JS: ^emitReadable_ node:internal/streams/readable:830:23
      2    0.0%    0.0%  JS: ^<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
      2    0.0%    0.0%  JS: *writeOrBuffer node:internal/streams/writable:548:23
      2    0.0%    0.0%  JS: *slowCases node:internal/util:237:19
      2    0.0%    0.0%  JS: *resolve node:path:1260:10
      2    0.0%    0.0%  JS: *rangeMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/dist/app/middleware/static.js:10:29
      2    0.0%    0.0%  JS: *processHeader node:_http_outgoing:591:23
      2    0.0%    0.0%  JS: *initAsyncResource node:internal/timers:164:27
      2    0.0%    0.0%  JS: *getOrStore file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-common-util/dist/MapUtil.js:2:22
      2    0.0%    0.0%  JS: *getMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:365:29
      2    0.0%    0.0%  JS: *get method file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:196:15
      2    0.0%    0.0%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/ylru/dist/esm/index.js:17:8
      2    0.0%    0.0%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/request.js:472:8
      2    0.0%    0.0%  JS: *emitCloseNT node:internal/streams/destroy:133:21
      2    0.0%    0.0%  JS: *dta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/dta.js:4:24
      2    0.0%    0.0%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/koa-compose/index.js:35:23
      2    0.0%    0.0%  JS: *containPrototype file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/AppLoadUnit.js:50:21
      2    0.0%    0.0%  JS: *callbackTrampoline node:internal/async_hooks:118:28
      2    0.0%    0.0%  JS: *arrayClone node:events:892:20
      2    0.0%    0.0%  JS: *append node:internal/linkedlist:30:16
      2    0.0%    0.0%  JS: *addListener node:events:610:58
      2    0.0%    0.0%  JS: *addCatch node:events:366:18
      2    0.0%    0.0%  JS: *BackgroundTaskHelper file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:14:28
      2    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:174:25
      2    0.0%    0.0%  Builtin: ToBoolean
      2    0.0%    0.0%  Builtin: StringPrototypeReplace
      2    0.0%    0.0%  Builtin: StringPrototypeMatch
      2    0.0%    0.0%  Builtin: StringConstructor
      2    0.0%    0.0%  Builtin: StringAddConvertRight
      2    0.0%    0.0%  Builtin: StrictEqual
      2    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      2    0.0%    0.0%  Builtin: NewRestArgumentsElements
      2    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      2    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      2    0.0%    0.0%  Builtin: KeyedStoreICTrampoline_Megamorphic
      2    0.0%    0.0%  Builtin: IterableToListWithSymbolLookup
      2    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      2    0.0%    0.0%  Builtin: ForInEnumerate
      2    0.0%    0.0%  Builtin: CopyDataProperties
