Statistical profiling result from isolate-0xa6480c000-47317-v8-47317.log, (9021 ticks, 4225 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^get loadUnitLifecycleUtil file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/app/extend/application.js:16:30
      1    0.0%    0.0%  JS: ^forEachMimeType /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/mime-types/index.js:155:52
      1    0.0%    0.0%  JS: ^emitReadable_ node:internal/streams/readable:830:23
      1    0.0%    0.0%  JS: ^emitCloseNT node:_http_server:1062:21
      1    0.0%    0.0%  JS: ^defaultResolve node:internal/modules/esm/resolve:938:24
      1    0.0%    0.0%  JS: ^callbackTrampoline node:internal/async_hooks:118:28
      1    0.0%    0.0%  JS: ^addJobsToDependencyGraph node:internal/modules/esm/module_job:208:38
      1    0.0%    0.0%  JS: ^add node:internal/deps/undici/undici:1134:10
      1    0.0%    0.0%  JS: ^_storeHeader node:_http_outgoing:455:22
      1    0.0%    0.0%  JS: ^Writable.write node:internal/streams/writable:504:36
      1    0.0%    0.0%  JS: ^Socket._writeGeneric node:net:935:42
      1    0.0%    0.0%  JS: ^GetIntrinsic /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/get-intrinsic/index.js:297:39
      1    0.0%    0.0%  JS: ^<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:40:60
      1    0.0%    0.0%  JS: ^<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:174:25
      1    0.0%    0.0%  JS: ^<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
      1    0.0%    0.0%  JS: ^<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:31:19
      1    0.0%    0.0%  JS: *resolve node:path:1260:10
      1    0.0%    0.0%  JS: *remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: *pushAsyncContext node:internal/async_hooks:547:26
      1    0.0%    0.0%  JS: *push node:internal/fixed_queue:100:7
      1    0.0%    0.0%  JS: *postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:36:21
      1    0.0%    0.0%  JS: *parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      1    0.0%    0.0%  JS: *normalizeString node:path:93:25
      1    0.0%    0.0%  JS: *nop node:_http_outgoing:91:13
      1    0.0%    0.0%  JS: *noop node:internal/util/debuglog:57:14
