Statistical profiling result from isolate-0xb6280c000-47319-v8-47319.log, (9031 ticks, 4182 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      6    0.1%    0.1%  JS: *clearBuffer node:internal/streams/writable:744:21
      6    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:40:60
      6    0.1%    0.1%  Builtin: CreateObjectWithoutProperties
      6    0.1%    0.1%  Builtin: ArrayPrototypeValues
      5    0.1%    0.1%  JS: ^parseSource node:internal/deps/cjs-module-lexer/lexer:85:22
      5    0.1%    0.1%  JS: *xframe file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/xframe.js:3:33
      5    0.1%    0.1%  JS: *writeOrBuffer node:internal/streams/writable:548:23
      5    0.1%    0.1%  JS: *socketListenerWrap node:_http_server:1236:37
      5    0.1%    0.1%  JS: *siteFile file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/site_file.js:6:35
      5    0.1%    0.1%  JS: *rangeMiddleware file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/dist/app/middleware/static.js:10:29
      5    0.1%    0.1%  JS: *notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      5    0.1%    0.1%  JS: *get path file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:208:13
      5    0.1%    0.1%  JS: *get node:_http_incoming:109:16
      5    0.1%    0.1%  JS: *createObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:174:30
      5    0.1%    0.1%  JS: *_destroy node:_http_incoming:218:55
      5    0.1%    0.1%  JS: *AsyncResource node:async_hooks:168:14
      5    0.1%    0.1%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:35:51
      5    0.1%    0.1%  Builtin: StringPrototypeSplit
      5    0.1%    0.1%  Builtin: StrictEqual_Baseline
      5    0.1%    0.1%  Builtin: SetPrototypeAdd
      5    0.1%    0.1%  Builtin: NewRestArgumentsElements
      5    0.1%    0.1%  Builtin: LoadICBaseline
      5    0.1%    0.1%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      5    0.1%    0.1%  Builtin: ArrayIncludesSmiOrObject
      4    0.0%    0.0%  JS: *write_ node:_http_outgoing:943:16
      4    0.0%    0.0%  JS: *unenroll node:timers:76:18
      4    0.0%    0.0%  JS: *set status file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:57:15
      4    0.0%    0.0%  JS: *resOnFinish node:_http_server:1007:21
      4    0.0%    0.0%  JS: *preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-plugin/dist/lib/AopContextHook.js:35:20
      4    0.0%    0.0%  JS: *overrideMethod file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-override/dist/esm/index.js:7:35
      4    0.0%    0.0%  JS: *onError node:_http_incoming:439:17
      4    0.0%    0.0%  JS: *notAllow file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/methodnoallow.js:12:29
      4    0.0%    0.0%  JS: *emitReadable_ node:internal/streams/readable:830:23
      4    0.0%    0.0%  JS: *arrayClone node:events:892:20
      4    0.0%    0.0%  JS: *_send node:_http_outgoing:399:49
      4    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:31:36
      4    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/Router.js:138:27
      4    0.0%    0.0%  JS: *<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:31:19
      4    0.0%    0.0%  Builtin: WeakMapConstructor
      4    0.0%    0.0%  Builtin: RegExpPrototypeExecSlow
      4    0.0%    0.0%  Builtin: JSEntryTrampoline
      4    0.0%    0.0%  Builtin: CopyDataProperties
      4    0.0%    0.0%  Builtin: ConstructFunction
      4    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      4    0.0%    0.0%  Builtin: CallWithSpread
      4    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      3    0.0%    0.0%  JS: *preDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:24:25
      3    0.0%    0.0%  JS: *parseBody /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-bodyparser/index.js:81:27
      3    0.0%    0.0%  JS: *onFinish node:_http_outgoing:1080:18
      3    0.0%    0.0%  JS: *onFinish /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:96:21
      3    0.0%    0.0%  JS: *logger node:internal/util/debuglog:120:18
      3    0.0%    0.0%  JS: *isSafePath file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/utils.js:34:27
      3    0.0%    0.0%  JS: *initAsyncResource node:internal/timers:164:27
      3    0.0%    0.0%  JS: *has file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/response.js:363:8
      3    0.0%    0.0%  JS: *getOrCreateEggObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:51:31
      3    0.0%    0.0%  JS: *getMetaData file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core-decorator/dist/util/MetadataUtil.js:14:23
      3    0.0%    0.0%  JS: *getContainer file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggContainerFactory.js:16:24
      3    0.0%    0.0%  JS: *get node:internal/streams/writable:1010:8
      3    0.0%    0.0%  JS: *endReadableNT node:internal/streams/readable:1692:23
      3    0.0%    0.0%  JS: *destroyObject file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/factory/EggObjectFactory.js:33:31
      3    0.0%    0.0%  JS: *containPrototype file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/AppLoadUnit.js:50:21
      3    0.0%    0.0%  JS: *callPreCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:50:31
      3    0.0%    0.0%  JS: *callPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:56:32
      3    0.0%    0.0%  JS: *ReadableState node:internal/streams/readable:262:23
      3    0.0%    0.0%  JS: *OrdinaryGetOwnMetadata /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/reflect-metadata/Reflect.js:602:40
      3    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:47:45
      3    0.0%    0.0%  Builtin: WeakMapPrototypeSet
      3    0.0%    0.0%  Builtin: WeakCollectionSet
      3    0.0%    0.0%  Builtin: StringEqual
      3    0.0%    0.0%  Builtin: StoreIC
      3    0.0%    0.0%  Builtin: RegExpPrototypeTest
      3    0.0%    0.0%  Builtin: RegExpPrototypeExec
      3    0.0%    0.0%  Builtin: PromiseResolveThenableJob
      3    0.0%    0.0%  Builtin: NumberToString
      3    0.0%    0.0%  Builtin: LessThan_Baseline
      3    0.0%    0.0%  Builtin: KeyedStoreIC
      3    0.0%    0.0%  Builtin: KeyedLoadICTrampoline_Megamorphic
      3    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      3    0.0%    0.0%  Builtin: JSRunMicrotasksEntry
      3    0.0%    0.0%  Builtin: DefineNamedOwnIC
      3    0.0%    0.0%  Builtin: CallWithArrayLike
      3    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      2    0.0%    0.0%  RegExp: ;$
      2    0.0%    0.0%  JS: ^objectPostCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:38:27
      2    0.0%    0.0%  JS: ^init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:71:15
      2    0.0%    0.0%  JS: ^byteLength node:buffer:771:20
      2    0.0%    0.0%  JS: ^addJobsToDependencyGraph node:internal/modules/esm/module_job:208:38
      2    0.0%    0.0%  JS: *writeHead node:_http_server:351:19
      2    0.0%    0.0%  JS: *wrappedController file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/@eggjs/router/dist/EggRouter.js:236:31
      2    0.0%    0.0%  JS: *set node:_http_outgoing:251:16
      2    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:140:33
      2    0.0%    0.0%  JS: *noop node:internal/util/debuglog:57:14
      2    0.0%    0.0%  JS: *init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/EggObjectImpl.js:139:15
      2    0.0%    0.0%  JS: *getPathFromURLPosix node:internal/url:1564:29
      2    0.0%    0.0%  JS: *getLifecycleList file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:11:21
      2    0.0%    0.0%  JS: *getContextProto file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/impl/ContextObjectGraph.js:19:27
      2    0.0%    0.0%  JS: *getContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/ContextHandler.js:5:22
      2    0.0%    0.0%  JS: *get node:internal/streams/duplex:161:8
      2    0.0%    0.0%  JS: *get node:internal/bootstrap/node:475:8
      2    0.0%    0.0%  JS: *fileURLToPath node:internal/url:1605:23
      2    0.0%    0.0%  JS: *emitCloseNT node:internal/streams/destroy:133:21
      2    0.0%    0.0%  JS: *dispatch /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/core/node_modules/koa-compose/index.js:35:23
      2    0.0%    0.0%  JS: *afterWriteTick node:internal/streams/writable:693:24
      2    0.0%    0.0%  JS: *addCatch node:events:366:18
      2    0.0%    0.0%  JS: *_flush node:_http_outgoing:1193:51
      2    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:387:35
      2    0.0%    0.0%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/lib/core/base_context_class.js:8:8
      2    0.0%    0.0%  JS: *AbstractEggContext file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:10:8
      2    0.0%    0.0%  JS: *<anonymous> node:internal/validators:460:42
      2    0.0%    0.0%  JS: *<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/node_modules/koa-compose/index.js:31:19
      2    0.0%    0.0%  Builtin: ToBooleanForBaselineJump
      2    0.0%    0.0%  Builtin: StringSubstring
      2    0.0%    0.0%  Builtin: StringPrototypeReplace
      2    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      2    0.0%    0.0%  Builtin: StringIndexOf
      2    0.0%    0.0%  Builtin: StringConstructor
      2    0.0%    0.0%  Builtin: ResumeGeneratorBaseline
      2    0.0%    0.0%  Builtin: RegExpPrototypeMatch
      2    0.0%    0.0%  Builtin: JSEntry
      2    0.0%    0.0%  Builtin: InterpreterEntryTrampoline
      2    0.0%    0.0%  Builtin: ForInEnumerate
      2    0.0%    0.0%  Builtin: FastNewClosure
      2    0.0%    0.0%  Builtin: CreateEmptyArrayLiteral
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      2    0.0%    0.0%  Builtin: CallApiGetter
      2    0.0%    0.0%  Builtin: BaselineLeaveFrame
      2    0.0%    0.0%  Builtin: ArrayPrototypeShift
      1    0.0%    0.0%  RegExp: \s*}[^}]*$
      1    0.0%    0.0%  RegExp: %2F|%5C
      1    0.0%    0.0%  JS: ~Settings /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/fast-glob/out/settings.js:20:16
      1    0.0%    0.0%  JS: ~<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg/node_modules/undici/lib/llhttp/constants.js:1:1
      1    0.0%    0.0%  JS: ^toPathIfFileURL node:internal/url:1676:25
      1    0.0%    0.0%  JS: ^resume_ node:internal/streams/readable:1254:17
      1    0.0%    0.0%  JS: ^readFileSync node:fs:434:22
      1    0.0%    0.0%  JS: ^processPromiseRejections node:internal/process/promises:439:34
      1    0.0%    0.0%  JS: ^preCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggContextCompatibleHook.js:20:20
      1    0.0%    0.0%  JS: ^postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:1073:26
      1    0.0%    0.0%  JS: ^once node:events:652:44
      1    0.0%    0.0%  JS: ^onFinished /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:46:21
      1    0.0%    0.0%  JS: ^onFinish node:_http_outgoing:1080:18
      1    0.0%    0.0%  JS: ^onFinish /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/on-finished/index.js:96:21
      1    0.0%    0.0%  JS: ^normalize node:path:1308:12
      1    0.0%    0.0%  JS: ^matchKnownFields node:_http_incoming:276:26
      1    0.0%    0.0%  JS: ^logger node:internal/util/debuglog:120:18
      1    0.0%    0.0%  JS: ^loadAndTranslate node:internal/modules/esm/loader:593:19
      1    0.0%    0.0%  JS: ^listOnTimeout node:internal/timers:528:25
      1    0.0%    0.0%  JS: ^internalStartTimer node:internal/util/debuglog:404:30
      1    0.0%    0.0%  JS: ^init file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/AppLoadUnitInstance.js:33:15
      1    0.0%    0.0%  JS: ^importResolve file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/utils/dist/import.js:238:30
      1    0.0%    0.0%  JS: ^howMuchToRead node:internal/streams/readable:630:23
      1    0.0%    0.0%  JS: ^handleRequest file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/application.js:168:24
