Statistical profiling result from isolate-0xc7480c000-47316-v8-47316.log, (9008 ticks, 2069 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: ^<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa-static-cache/dist/index.js:82:12
      2    0.0%    0.0%  JS: *writeOrBuffer node:internal/streams/writable:548:23
      2    0.0%    0.0%  JS: *writeHead node:_http_server:351:19
      2    0.0%    0.0%  JS: *resolve node:path:1260:10
      2    0.0%    0.0%  JS: *preDestroy file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/background-task/dist/BackgroundTaskHelper.js:24:25
      2    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:140:33
      2    0.0%    0.0%  JS: *normalizeString node:path:93:25
      2    0.0%    0.0%  JS: *logger node:internal/util/debuglog:120:18
      2    0.0%    0.0%  JS: *getMetaData file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/metadata/dist/impl/EggPrototypeImpl.js:49:16
      2    0.0%    0.0%  JS: *getLifecycleList file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:11:21
      2    0.0%    0.0%  JS: *get writable file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/dist/context.js:342:17
      2    0.0%    0.0%  JS: *get node:internal/bootstrap/node:475:8
      2    0.0%    0.0%  JS: *get file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/koa/node_modules/ylru/dist/esm/index.js:17:8
      2    0.0%    0.0%  JS: *emitReadable_ node:internal/streams/readable:830:23
      2    0.0%    0.0%  JS: *emitCloseNT node:internal/streams/destroy:133:21
      2    0.0%    0.0%  JS: *emitCloseNT node:_http_server:1062:21
      2    0.0%    0.0%  JS: *dta file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/dta.js:4:24
      2    0.0%    0.0%  JS: *clearIncoming node:_http_server:994:23
      2    0.0%    0.0%  JS: *append node:internal/linkedlist:30:16
      2    0.0%    0.0%  JS: *afterWriteTick node:internal/streams/writable:693:24
      2    0.0%    0.0%  JS: *addCatch node:events:366:18
      2    0.0%    0.0%  JS: *_flush node:_http_outgoing:1193:51
      2    0.0%    0.0%  JS: *_destroy node:_http_incoming:218:55
      2    0.0%    0.0%  JS: *BaseContextClass file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/lib/core/base_context_class.js:8:8
      2    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-runtime/dist/model/AbstractEggContext.js:31:36
      2    0.0%    0.0%  JS: *<anonymous> file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/lifecycle/dist/LifycycleUtil.js:35:51
      2    0.0%    0.0%  JS: *<anonymous> /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/static/node_modules/koa-compose/index.js:31:19
      2    0.0%    0.0%  Builtin: WeakCollectionSet
      2    0.0%    0.0%  Builtin: ToBoolean
      2    0.0%    0.0%  Builtin: StringPrototypeSplit
      2    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      2    0.0%    0.0%  Builtin: StringEqual
      2    0.0%    0.0%  Builtin: StrictEqual
      2    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      2    0.0%    0.0%  Builtin: ResumeGeneratorBaseline
      2    0.0%    0.0%  Builtin: LessThan_Baseline
      2    0.0%    0.0%  Builtin: FindNonDefaultConstructorOrConstruct
      2    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      2    0.0%    0.0%  Builtin: DefineKeyedOwnIC
      2    0.0%    0.0%  Builtin: ConstructForwardAllArgs
      2    0.0%    0.0%  Builtin: CloneFastJSArray
      2    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      2    0.0%    0.0%  Builtin: ArrayShift
      2    0.0%    0.0%  Builtin: ArrayPrototypePush
      2    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      1    0.0%    0.0%  RegExp: \s*}[^}]*$ {1}
      1    0.0%    0.0%  RegExp: \s*}[^}]*$
      1    0.0%    0.0%  JS: ~doBuildMethodAspect file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-decorator/dist/AspectMetaBuilder.js:38:24
      1    0.0%    0.0%  JS: ~create file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/tegg-plugin/dist/lib/EggCompatibleProtoImpl.js:44:18
      1    0.0%    0.0%  JS: ^write_ node:_http_outgoing:943:16
      1    0.0%    0.0%  JS: ^statSync node:fs:1738:18
      1    0.0%    0.0%  JS: ^session file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/session/node_modules/koa-session/dist/esm/index.js:184:34
      1    0.0%    0.0%  JS: ^resume node:internal/streams/readable:1247:16
      1    0.0%    0.0%  JS: ^readableAddChunkPushByteMode node:internal/streams/readable:463:38
      1    0.0%    0.0%  JS: ^processTicksAndRejections node:internal/process/task_queues:72:35
      1    0.0%    0.0%  JS: ^postCreate file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-runtime/dist/EggObjectAopHook.js:32:21
      1    0.0%    0.0%  JS: ^parse /Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/picomatch/lib/parse.js:55:15
      1    0.0%    0.0%  JS: ^overrideMethod file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/node_modules/koa-override/dist/esm/index.js:7:35
      1    0.0%    0.0%  JS: ^notfound file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/egg4/dist/app/middleware/notfound.js:2:35
      1    0.0%    0.0%  JS: ^noopen file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/security/dist/lib/middlewares/noopen.js:4:33
      1    0.0%    0.0%  JS: ^getModuleJobForImport node:internal/modules/esm/loader:309:30
      1    0.0%    0.0%  JS: ^getMethods file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/aop-decorator/dist/AspectMetaBuilder.js:24:28
      1    0.0%    0.0%  JS: ^getLoadUnitById file:///Users/fengmk2/git/github.com/eggjs/benchmark/node_modules/@eggjs/metadata/dist/factory/LoadUnitFactory.js:52:27
      1    0.0%    0.0%  JS: ^get node:internal/streams/duplex:161:8
      1    0.0%    0.0%  JS: ^emitCloseNT node:_http_server:1062:21
      1    0.0%    0.0%  JS: ^emit node:events:466:44
